party_id,booking_code,booking_period,invoice_number,invoice_date,due_date,closed_date,remark,currency,amount,tax_amount,company_id,ledger
11519,,2018-11,90590,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,228.15,0,999,P
11519,,2018-11,90591,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,222.3,0,999,P
11520,,2018-11,90592,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,666.9,0,999,P
11520,,2018-11,90593,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,99.45,0,999,P
11521,,2018-11,90594,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,143.91,0,999,P
11521,,2018-11,90595,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,46.8,0,999,P
11524,,2018-11,90596,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,193.05,0,999,P
11524,,2018-11,90597,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,81.9,0,999,P
11528,,2018-06,90598,2018-04-08 00:00:00,2018-05-08 00:00:00,,,EUR,56.043,0,999,P
11528,,2018-07,90599,2018-05-02 00:00:00,2018-06-01 00:00:00,,,EUR,68.9715,0,999,P
11529,,2018-11,90600,2018-09-17 00:00:00,2018-10-16 00:00:00,,,EUR,397.8,0,999,P
